"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Western Pacific","Upper-middle-income","Malaysia","1600 [900-2400]","1600","900","2400",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","High-income","Malta","68 [34-110]","68","34","110",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Western Pacific","Upper-middle-income","Malaysia","5.8 [3.3-8.9]","5.8","3.3","8.9",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Europe","High-income","Malta","16 [8.1-27]","16","8.1","27",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Western Pacific","Low-income","Lao People's Democratic Republic","790 [490-1200]","790","490","1200",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Americas","Upper-middle-income","Argentina","640 [610-670]","640","610","670",
"Number of prevalent tuberculosis cases ","Published","2012","Africa","Lower-middle-income","Congo","23000 [11000-40000]","23000","11000","40000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","24 [0.62-90]","24","0.62","90",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Western Pacific","Lower-middle-income","Papua New Guinea","54 [18-110]","54","18","110",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Europe","High-income","Ireland","0.43 [0.43-0.43]","0.43","0.43","0.43",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","South-East Asia","Low-income","Myanmar","26000 [12000-46000]","26000","12000","46000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","High-income","Slovenia","1.2 [1.2-1.2]","1.2","1.2","1.2",
"Number of prevalent tuberculosis cases ","Published","2007","Americas","Upper-middle-income","Mexico","37000 [18000-63000]","37000","18000","63000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Europe","Lower-middle-income","Ukraine","152 [67-271]","152","67","271",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Americas","Lower-middle-income","Bolivia (Plurinational State of)","233 [116-391]","233","116","391",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Lower-middle-income","Nigeria","30000 [2000-93000]","30000","2000","93000",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","Upper-middle-income","Poland","790 [770-820]","790","770","820",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","Low-income","Uzbekistan","7 [6.9-7]","7","6.9","7",
"Number of prevalent tuberculosis cases ","Published","2008","Europe","Lower-middle-income","Ukraine","71000 [31000-130000]","71000","31000","130000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Europe","High-income","Finland","10 [4.4-18]","10","4.4","18",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","High-income","Barbados","9 [4.7-15]","9","4.7","15",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","2.4 [2.4-2.5]","2.4","2.4","2.5",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","South-East Asia","Lower-middle-income","Sri Lanka","107 [51-184]","107","51","184",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Western Pacific","Low-income","Cambodia","9300 [4300-16000]","9300","4300","16000",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Western Pacific","Low-income","Niue","0.02 [0.02-0.02]","0.02","0.02","0.02",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Europe","Upper-middle-income","The former Yugoslav Republic of Macedonia","27 [8-58]","27","8","58",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Africa","Lower-middle-income","Congo","45 [19-81]","45","19","81",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","South-East Asia","Low-income","Myanmar","60 [26-108]","60","26","108",
"Number of prevalent tuberculosis cases ","Published","2010","Europe","High-income","San Marino","0.62 [0.25-1.1]","0.62","0.25","1.1",
"Number of prevalent tuberculosis cases ","Published","2012","Eastern Mediterranean","Lower-middle-income","Jordan","600 [280-1000]","600","280","1000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","High-income","Netherlands","9.2 [4-17]","9.2","4","17",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","High-income","Portugal","1.5 [1.4-1.5]","1.5","1.4","1.5",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Upper-middle-income","Algeria","138 [57-254]","138","57","254",
"Number of prevalent tuberculosis cases ","Published","2009","Western Pacific","Lower-middle-income","Solomon Islands","950 [440-1600]","950","440","1600",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","34 [3.5-99]","34","3.5","99",
"Number of prevalent tuberculosis cases ","Published","2010","Western Pacific","Lower-middle-income","Vanuatu","250 [110-440]","250","110","440",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Africa","Upper-middle-income","Mauritius","12 [12-12]","12","12","12",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","Upper-middle-income","Latvia","4.5 [4.4-4.7]","4.5","4.4","4.7",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","Lower-middle-income","Republic of Moldova","249 [112-438]","249","112","438",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Africa","Low-income","Liberia","1900 [760-3400]","1900","760","3400",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Africa","High-income","Equatorial Guinea","0 [0-8.6]","0","0","8.6",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Low-income","Mozambique","51 [3.6-161]","51","3.6","161",
"Number of prevalent tuberculosis cases ","Published","2008","Americas","Upper-middle-income","Peru","44000 [17000-84000]","44000","17000","84000",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Africa","Low-income","Comoros","46 [19-83]","46","19","83",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Americas","Upper-middle-income","Peru","5.6 [4.1-7.2]","5.6","4.1","7.2",
"Number of prevalent tuberculosis cases ","Published","2008","Americas","Upper-middle-income","Brazil","110000 [44000-200000]","110000","44000","200000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Americas","Upper-middle-income","Saint Vincent and the Grenadines","0.86 [0.85-0.88]","0.86","0.85","0.88",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Low-income","Mozambique","53 [3.1-174]","53","3.1","174",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Upper-middle-income","Algeria","5400 [1900-11000]","5400","1900","11000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Eastern Mediterranean","High-income","Saudi Arabia","3.9 [0.37-11]","3.9","0.37","11",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Europe","High-income","Cyprus","6.2 [2.7-11]","6.2","2.7","11",
"Number of prevalent tuberculosis cases ","Published","2010","Europe","High-income","Spain","10000 [4400-18000]","10000","4400","18000",
"Number of prevalent tuberculosis cases ","Published","2008","Americas","Upper-middle-income","Chile","3800 [1700-6900]","3800","1700","6900",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Americas","Lower-middle-income","Belize","13 [13-13]","13","13","13",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Western Pacific","Lower-middle-income","China","112 [97-128]","112","97","128",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Americas","Upper-middle-income","Grenada","6.8 [2.1-14]","6.8","2.1","14",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Africa","Lower-middle-income","Cabo Verde","110 [47-210]","110","47","210",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Americas","High-income","Barbados","2.8 [1.4-4.7]","2.8","1.4","4.7",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Europe","Lower-middle-income","Ukraine","10000 [10000-11000]","10000","10000","11000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Americas","Upper-middle-income","Saint Kitts and Nevis","5.6 [1.6-12]","5.6","1.6","12",
"Number of prevalent tuberculosis cases ","Published","2008","Americas","Upper-middle-income","Uruguay","1000 [450-1800]","1000","450","1800",
"Number of prevalent tuberculosis cases ","Published","2011","Eastern Mediterranean","Low-income","Somalia","56000 [28000-94000]","56000","28000","94000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Americas","Lower-middle-income","Paraguay","68 [33-115]","68","33","115",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","Lower-middle-income","Turkmenistan","16 [11-23]","16","11","23",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","South-East Asia","Lower-middle-income","India","27 [17-38]","27","17","38",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Europe","High-income","Malta","0.94 [0.93-0.94]","0.94","0.93","0.94",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","South-East Asia","Low-income","Bangladesh","435 [220-722]","435","220","722",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Eastern Mediterranean","Low-income","Yemen","8 [3.5-14]","8","3.5","14",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Americas","High-income","Canada","67 [67-68]","67","67","68",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Low-income","Togo","8.9 [3.9-16]","8.9","3.9","16",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Western Pacific","Lower-middle-income","Philippines","576 [515-640]","576","515","640",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Eastern Mediterranean","Upper-middle-income","Libya","420 [180-760]","420","180","760",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Africa","Low-income","Mauritania","794 [373-1370]","794","373","1370",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Europe","High-income","Denmark","11 [4.9-19]","11","4.9","19",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Americas","Upper-middle-income","Uruguay","36 [17-62]","36","17","62",
"Number of prevalent tuberculosis cases ","Published","2011","Africa","Low-income","Burundi","20000 [11000-33000]","20000","11000","33000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Low-income","Sierra Leone","139 [52-267]","139","52","267",
"Number of prevalent tuberculosis cases ","Published","2011","Africa","Upper-middle-income","South Africa","430000 [150000-860000]","430000","150000","860000",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","High-income","Germany","280 [280-290]","280","280","290",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Americas","Upper-middle-income","Cuba","38 [38-38]","38","38","38",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Western Pacific","Lower-middle-income","Kiribati","16 [8.9-24]","16","8.9","24",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Africa","Lower-middle-income","Cabo Verde","130 [52-250]","130","52","250",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Eastern Mediterranean","Lower-middle-income","Sudan","209 [105-347]","209","105","347",
