"DE","Year","Country","CO","Numeric"
"Number of prevalent tuberculosis cases ","2009","Russian Federation",,"240000"
"Number of prevalent tuberculosis cases ","2012","Antigua and Barbuda",,"4.3"
"Number of prevalent tuberculosis cases ","2011","Chile",,"3800"
"Prevalence of tuberculosis (per 100 000 population)","2008","Namibia",,"1093"
"Number of prevalent tuberculosis cases ","2009","Tajikistan",,"17000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Greece",,"0.9"
"Number of prevalent tuberculosis cases ","2010","Romania",,"34000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Mali",,"10"
"Number of deaths due to tuberculosis excluding HIV","2010","Costa Rica",,"43"
"Prevalence of tuberculosis (per 100 000 population)","2007","Saint Kitts and Nevis",,"16"
"Number of deaths due to tuberculosis excluding HIV","2010","Gabon",,"800"
"Number of prevalent tuberculosis cases ","2007","Greece",,"1000"
"Prevalence of tuberculosis (per 100 000 population)","2012","Yemen",,"70"
"Number of deaths due to tuberculosis excluding HIV","2011","Central African Republic",,"2400"
"Number of prevalent tuberculosis cases ","2007","United Arab Emirates",,"380"
"Number of deaths due to tuberculosis excluding HIV","2007","Papua New Guinea",,"3500"
"Prevalence of tuberculosis (per 100 000 population)","2011","Monaco",,"2.4"
"Prevalence of tuberculosis (per 100 000 population)","2010","Malta",,"10"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Madagascar",,"46"
"Prevalence of tuberculosis (per 100 000 population)","2008","Azerbaijan",,"370"
"Prevalence of tuberculosis (per 100 000 population)","2008","Montenegro",,"34"
"Prevalence of tuberculosis (per 100 000 population)","2009","Norway",,"13"
"Prevalence of tuberculosis (per 100 000 population)","2011","Saint Lucia",,"6.1"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Slovenia",,"0.97"
"Prevalence of tuberculosis (per 100 000 population)","2007","Singapore",,"44"
"Number of deaths due to tuberculosis excluding HIV","2012","Ghana",,"1700"
"Number of prevalent tuberculosis cases ","2010","Kiribati",,"470"
"Number of deaths due to tuberculosis excluding HIV","2012","Jamaica",,"6"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Ireland",,"0.42"
"Number of deaths due to tuberculosis excluding HIV","2010","Israel",,"17"
"Number of deaths due to tuberculosis excluding HIV","2011","El Salvador",,"71"
"Prevalence of tuberculosis (per 100 000 population)","2010","Botswana",,"411"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Sierra Leone",,"142"
"Number of prevalent tuberculosis cases ","2009","Saint Vincent and the Grenadines",,"20"
"Number of deaths due to tuberculosis excluding HIV","2009","Colombia",,"1000"
"Number of prevalent tuberculosis cases ","2007","Niger",,"32000"
"Number of prevalent tuberculosis cases ","2010","Brunei Darussalam",,"400"
"Number of deaths due to tuberculosis excluding HIV","2008","United States of America",,"600"
"Prevalence of tuberculosis (per 100 000 population)","2010","Myanmar",,"525"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Greece",,"0.66"
"Number of deaths due to tuberculosis excluding HIV","2008","Bhutan",,"250"
"Number of prevalent tuberculosis cases ","2008","Serbia",,"4300"
"Number of deaths due to tuberculosis excluding HIV","2008","Slovakia",,"42"
"Number of deaths due to tuberculosis excluding HIV","2008","Central African Republic",,"3000"
"Prevalence of tuberculosis (per 100 000 population)","2010","Mali",,"94"
"Number of deaths due to tuberculosis excluding HIV","2007","Eritrea",,"280"
"Number of prevalent tuberculosis cases ","2007","Malaysia",,"33000"
"Prevalence of tuberculosis (per 100 000 population)","2012","Micronesia (Federated States of)",,"270"
"Prevalence of tuberculosis (per 100 000 population)","2012","Congo",,"530"
"Prevalence of tuberculosis (per 100 000 population)","2009","Argentina",,"42"
"Prevalence of tuberculosis (per 100 000 population)","2012","Portugal",,"34"
"Number of deaths due to tuberculosis excluding HIV","2007","Jordan",,"36"
"Prevalence of tuberculosis (per 100 000 population)","2009","United Kingdom",,"23"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Lithuania",,"8.3"
"Number of prevalent tuberculosis cases ","2008","Georgia",,"9600"
"Number of deaths due to tuberculosis excluding HIV","2012","Swaziland",,"780"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","United States of America",,"0.15"
"Prevalence of tuberculosis (per 100 000 population)","2010","Venezuela (Bolivarian Republic of)",,"52"
"Number of prevalent tuberculosis cases ","2011","Sao Tome and Principe",,"280"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Equatorial Guinea",,"0"
"Prevalence of tuberculosis (per 100 000 population)","2007","Guatemala",,"116"
"Prevalence of tuberculosis (per 100 000 population)","2008","Kazakhstan",,"241"
"Number of deaths due to tuberculosis excluding HIV","2012","Iran (Islamic Republic of)",,"2200"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Montenegro",,"0.19"
"Prevalence of tuberculosis (per 100 000 population)","2012","United Republic of Tanzania",,"176"
"Number of prevalent tuberculosis cases ","2010","Mexico",,"40000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Turkey",,"1.1"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Zambia",,"28"
"Number of deaths due to tuberculosis excluding HIV","2011","Ukraine",,"7100"
"Number of prevalent tuberculosis cases ","2007","Equatorial Guinea",,"950"
"Prevalence of tuberculosis (per 100 000 population)","2010","Zimbabwe",,"438"
"Prevalence of tuberculosis (per 100 000 population)","2007","Israel",,"9.4"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Malaysia",,"5.4"
"Number of deaths due to tuberculosis excluding HIV","2009","Slovenia",,"24"
"Number of deaths due to tuberculosis excluding HIV","2009","Bolivia (Plurinational State of)",,"2200"
"Number of prevalent tuberculosis cases ","2012","Kuwait",,"1100"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Lao People's Democratic Republic",,"11"
"Number of deaths due to tuberculosis excluding HIV","2010","Jordan",,"37"
"Prevalence of tuberculosis (per 100 000 population)","2011","Togo",,"102"
"Number of deaths due to tuberculosis excluding HIV","2008","Lesotho",,"240"
"Number of prevalent tuberculosis cases ","2008","Cook Islands",,"4.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Georgia",,"4.5"
"Number of deaths due to tuberculosis excluding HIV","2009","Zambia",,"3100"
"Prevalence of tuberculosis (per 100 000 population)","2009","Guinea-Bissau",,"293"
"Prevalence of tuberculosis (per 100 000 population)","2007","Uganda",,"253"
"Prevalence of tuberculosis (per 100 000 population)","2011","Turkmenistan",,"133"
"Number of deaths due to tuberculosis excluding HIV","2010","Eritrea",,"280"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Lebanon",,"1.6"
"Number of prevalent tuberculosis cases ","2008","Burundi",,"20000"
"Number of prevalent tuberculosis cases ","2011","Nepal",,"64000"
"Number of prevalent tuberculosis cases ","2008","Finland",,"540"
"Number of deaths due to tuberculosis excluding HIV","2012","Serbia",,"140"
"Prevalence of tuberculosis (per 100 000 population)","2009","Congo",,"560"
"Number of deaths due to tuberculosis excluding HIV","2009","Libya",,"290"
"Prevalence of tuberculosis (per 100 000 population)","2010","Haiti",,"326"
"Prevalence of tuberculosis (per 100 000 population)","2010","Cyprus",,"9.4"
"Number of prevalent tuberculosis cases ","2008","Bangladesh",,"660000"
"Prevalence of tuberculosis (per 100 000 population)","2009","Libya",,"55"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Algeria",,"12"
"Number of prevalent tuberculosis cases ","2010","Hungary",,"2600"
"Prevalence of tuberculosis (per 100 000 population)","2008","Angola",,"373"
"Number of deaths due to tuberculosis excluding HIV","2009","Russian Federation",,"25000"
"Number of prevalent tuberculosis cases ","2008","Saudi Arabia",,"6200"
"Prevalence of tuberculosis (per 100 000 population)","2009","Mauritius",,"41"
"Number of deaths due to tuberculosis excluding HIV","2009","Mauritius",,"16"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Niger",,"23"
"Prevalence of tuberculosis (per 100 000 population)","2008","Benin",,"110"
"Number of prevalent tuberculosis cases ","2010","Honduras",,"6400"
"Number of prevalent tuberculosis cases ","2011","Iceland",,"13"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Sweden",,"0.19"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Democratic Republic of the Congo",,"58"
"Prevalence of tuberculosis (per 100 000 population)","2009","Nicaragua",,"58"
"Prevalence of tuberculosis (per 100 000 population)","2010","Honduras",,"84"
"Prevalence of tuberculosis (per 100 000 population)","2012","Cameroon",,"319"
"Number of prevalent tuberculosis cases ","2009","Congo",,"22000"
"Number of deaths due to tuberculosis excluding HIV","2010","Cyprus",,"1.3"
"Number of prevalent tuberculosis cases ","2010","Haiti",,"32000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Mali",,"100"
"Number of prevalent tuberculosis cases ","2010","Costa Rica",,"930"
"Number of deaths due to tuberculosis excluding HIV","2012","Antigua and Barbuda",,"1.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Mali",,"9.3"
"Prevalence of tuberculosis (per 100 000 population)","2011","Burundi",,"214"
"Number of deaths due to tuberculosis excluding HIV","2007","Niue",,"0.01"
"Number of prevalent tuberculosis cases ","2012","Cuba",,"1600"
"Number of prevalent tuberculosis cases ","2012","Tajikistan",,"13000"
"Number of prevalent tuberculosis cases ","2010","Marshall Islands",,"470"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Iraq",,"3.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Senegal",,"20"
"Number of prevalent tuberculosis cases ","2011","Belgium",,"1500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Mauritania",,"93"
"Prevalence of tuberculosis (per 100 000 population)","2012","Canada",,"6.1"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Cabo Verde",,"23"
"Number of prevalent tuberculosis cases ","2008","France",,"10000"
"Prevalence of tuberculosis (per 100 000 population)","2012","Kuwait",,"33"
"Prevalence of tuberculosis (per 100 000 population)","2009","Burkina Faso",,"93"
"Number of prevalent tuberculosis cases ","2011","Peru",,"37000"
"Number of deaths due to tuberculosis excluding HIV","2012","Solomon Islands",,"82"
"Prevalence of tuberculosis (per 100 000 population)","2012","Republic of Moldova",,"249"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Saint Lucia",,"1.9"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","United Kingdom",,"0.57"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Benin",,"9.3"
"Prevalence of tuberculosis (per 100 000 population)","2009","Cabo Verde",,"264"
"Number of deaths due to tuberculosis excluding HIV","2010","Mali",,"1300"
"Number of prevalent tuberculosis cases ","2012","Cameroon",,"69000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Peru",,"124"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Germany",,"0.34"
"Number of deaths due to tuberculosis excluding HIV","2011","Sudan",,"8000"
"Number of deaths due to tuberculosis excluding HIV","2010","Comoros",,"45"
"Number of prevalent tuberculosis cases ","2007","Comoros",,"390"
"Number of prevalent tuberculosis cases ","2008","Sudan",,"93000"
"Prevalence of tuberculosis (per 100 000 population)","2009","Mauritania",,"736"
"Prevalence of tuberculosis (per 100 000 population)","2008","Bangladesh",,"447"
"Number of prevalent tuberculosis cases ","2009","Burkina Faso",,"14000"
"Prevalence of tuberculosis (per 100 000 population)","2012","Solomon Islands",,"151"
"Number of deaths due to tuberculosis excluding HIV","2007","Iraq",,"1000"
"Number of deaths due to tuberculosis excluding HIV","2012","Republic of Moldova",,"630"
"Number of deaths due to tuberculosis excluding HIV","2009","United Kingdom",,"350"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Uganda",,"21"
"Number of deaths due to tuberculosis excluding HIV","2007","India",,"380000"
"Prevalence of tuberculosis (per 100 000 population)","2012","Guinea",,"274"
"Prevalence of tuberculosis (per 100 000 population)","2007","India",,"328"
"Number of deaths due to tuberculosis excluding HIV","2009","Mauritania",,"3000"
"Prevalence of tuberculosis (per 100 000 population)","2009","Antigua and Barbuda",,"5.4"
"Number of prevalent tuberculosis cases ","2011","Switzerland",,"900"
"Number of deaths due to tuberculosis excluding HIV","2007","Indonesia",,"75000"
"Prevalence of tuberculosis (per 100 000 population)","2010","Denmark",,"8.3"
"Prevalence of tuberculosis (per 100 000 population)","2007","Iraq",,"72"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Dominica",,"3.2"
"Number of deaths due to tuberculosis excluding HIV","2012","China",,"44000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Senegal",,"222"
"Number of deaths due to tuberculosis excluding HIV","2007","Armenia",,"260"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Sudan",,"22"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Armenia",,"8.7"
"Number of deaths due to tuberculosis excluding HIV","2010","New Zealand",,"5.2"
"Prevalence of tuberculosis (per 100 000 population)","2008","Sudan",,"217"
